model_key,model,condition,patient_id,repetition,run,prompt_tokens,completion_tokens,total_tokens,estimated_cost
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_01,2,1,697,155,852,0.00031292
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_01,2,2,697,155,852,0.00031292
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_01,2,3,697,155,852,0.00031292
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_01,5,1,1531,144,1675,0.00060876
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_01,5,2,1531,144,1675,0.00060876
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_01,5,3,1531,144,1675,0.00060876
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_01,10,1,2921,155,3076,0.00111356
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_01,10,2,2921,155,3076,0.00111356
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_01,10,3,2921,155,3076,0.00111356
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_01,16,1,4589,144,4733,0.00170964
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_01,16,2,4589,144,4733,0.00170964
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_01,16,3,4589,144,4733,0.00170964
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_02,2,1,587,128,715,0.00026252
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_02,2,2,587,128,715,0.00026252
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_02,2,3,587,128,715,0.00026252
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_02,5,1,1256,140,1396,0.00050816
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_02,5,2,1256,128,1384,0.00050336
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_02,5,3,1256,128,1384,0.00050336
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_02,10,1,2371,140,2511,0.00090956
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_02,10,2,2371,140,2511,0.00090956
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_02,10,3,2371,128,2499,0.00090476
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_02,16,1,3709,128,3837,0.00138644
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_02,16,2,3709,128,3837,0.00138644
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_02,16,3,3709,128,3837,0.00138644
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_03,2,1,625,169,794,0.0002926
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_03,2,2,625,169,794,0.0002926
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_03,2,3,625,169,794,0.0002926
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_03,5,1,1351,169,1520,0.00055396
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_03,5,2,1351,169,1520,0.00055396
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_03,5,3,1351,169,1520,0.00055396
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_03,10,1,2561,169,2730,0.00098956
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_03,10,2,2561,169,2730,0.00098956
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_03,10,3,2561,169,2730,0.00098956
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_03,16,1,4013,169,4182,0.00151228
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_03,16,2,4013,169,4182,0.00151228
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_03,16,3,4013,169,4182,0.00151228
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_04,2,1,451,90,541,0.00019836
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_04,2,2,451,90,541,0.00019836
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_04,2,3,451,90,541,0.00019836
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_04,5,1,916,102,1018,0.00037056
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_04,5,2,916,102,1018,0.00037056
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_04,5,3,916,102,1018,0.00037056
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_04,10,1,1691,102,1793,0.00064956
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_04,10,2,1691,102,1793,0.00064956
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_04,10,3,1691,102,1793,0.00064956
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_04,16,1,2621,102,2723,0.00098436
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_04,16,2,2621,102,2723,0.00098436
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_04,16,3,2621,102,2723,0.00098436
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_05,2,1,565,141,706,0.0002597999999999
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_05,2,2,565,141,706,0.0002597999999999
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_05,2,3,565,141,706,0.0002597999999999
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_05,5,1,1201,141,1342,0.00048876
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_05,5,2,1201,141,1342,0.00048876
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_05,5,3,1201,141,1342,0.00048876
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_05,10,1,2261,141,2402,0.00087036
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_05,10,2,2261,141,2402,0.00087036
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_05,10,3,2261,141,2402,0.00087036
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_05,16,1,3533,141,3674,0.00132828
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_05,16,2,3533,141,3674,0.00132828
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_05,16,3,3533,141,3674,0.00132828
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_06,2,1,461,103,564,0.00020716
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_06,2,2,461,103,564,0.00020716
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_06,2,3,461,103,564,0.00020716
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_06,5,1,941,109,1050,0.00038236
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_06,5,2,941,109,1050,0.00038236
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_06,5,3,941,103,1044,0.00037996
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_06,10,1,1741,109,1850,0.0006703599999999
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_06,10,2,1741,109,1850,0.0006703599999999
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_06,10,3,1741,109,1850,0.0006703599999999
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_06,16,1,2701,109,2810,0.00101596
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_06,16,2,2701,109,2810,0.00101596
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_06,16,3,2701,109,2810,0.00101596
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_07,2,1,493,133,626,0.0002306799999999
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_07,2,2,493,119,612,0.00022508
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_07,2,3,493,133,626,0.0002306799999999
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_07,5,1,1021,133,1154,0.00042076
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_07,5,2,1021,133,1154,0.00042076
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_07,5,3,1021,133,1154,0.00042076
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_07,10,1,1901,133,2034,0.00073756
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_07,10,2,1901,133,2034,0.00073756
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_07,10,3,1901,133,2034,0.00073756
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_07,16,1,2957,133,3090,0.00111772
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_07,16,2,2957,119,3076,0.00111212
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_07,16,3,2957,133,3090,0.00111772
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_08,2,1,571,143,714,0.00026276
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_08,2,2,571,143,714,0.00026276
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_08,2,2,571,143,714,0.00026276
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_08,2,3,571,143,714,0.00026276
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_08,2,3,571,143,714,0.00026276
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_08,5,1,1216,143,1359,0.00049496
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_08,5,1,1216,143,1359,0.00049496
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_08,5,2,1216,143,1359,0.00049496
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_08,5,2,1216,143,1359,0.00049496
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_08,5,3,1216,143,1359,0.00049496
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_08,5,3,1216,143,1359,0.00049496
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_08,10,1,2291,143,2434,0.00088196
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_08,10,1,2291,143,2434,0.00088196
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_08,10,2,2291,143,2434,0.00088196
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_08,10,2,2291,143,2434,0.00088196
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_08,10,3,2291,143,2434,0.00088196
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_08,10,3,2291,143,2434,0.00088196
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_08,16,1,3581,143,3724,0.00134636
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_08,16,1,3581,143,3724,0.00134636
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_08,16,2,3581,143,3724,0.00134636
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_08,16,2,3581,143,3724,0.00134636
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_08,16,3,3581,143,3724,0.00134636
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_08,16,3,3581,143,3724,0.00134636
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_09,2,1,433,100,533,0.00019588
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_09,2,1,433,108,541,0.00019908
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_09,2,2,433,108,541,0.00019908
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_09,2,2,433,108,541,0.00019908
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_09,2,3,433,108,541,0.00019908
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_09,2,3,433,100,533,0.00019588
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_09,5,1,871,108,979,0.00035676
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_09,5,1,871,100,971,0.00035356
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_09,5,2,871,100,971,0.00035356
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_09,5,2,871,108,979,0.00035676
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_09,5,3,871,108,979,0.00035676
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_09,5,3,871,108,979,0.00035676
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_09,10,1,1601,100,1701,0.0006163599999999
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_09,10,1,1601,100,1701,0.0006163599999999
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_09,10,2,1601,108,1709,0.00061956
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_09,10,2,1601,108,1709,0.00061956
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_09,10,3,1601,100,1701,0.0006163599999999
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_09,10,3,1601,108,1709,0.00061956
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_09,16,1,2477,100,2577,0.00093172
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_09,16,1,2477,100,2577,0.00093172
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_09,16,2,2477,108,2585,0.00093492
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_09,16,2,2477,108,2585,0.00093492
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_09,16,3,2477,108,2585,0.00093492
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_09,16,3,2477,108,2585,0.00093492
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,2,1,537,131,668,0.00024572
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,2,1,537,131,668,0.00024572
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,2,2,537,131,668,0.00024572
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,2,2,537,131,668,0.00024572
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,2,3,537,131,668,0.00024572
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,2,3,537,131,668,0.00024572
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,5,1,1131,123,1254,0.00045636
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,5,1,1131,131,1262,0.00045956
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,5,2,1131,131,1262,0.00045956
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,5,2,1131,123,1254,0.00045636
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,5,3,1131,123,1254,0.00045636
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,5,3,1131,131,1262,0.00045956
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,10,1,2121,123,2244,0.00081276
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,10,1,2121,123,2244,0.00081276
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,10,2,2121,123,2244,0.00081276
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,10,2,2121,131,2252,0.00081596
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,10,3,2121,131,2252,0.00081596
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,10,3,2121,123,2244,0.00081276
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,16,1,3309,123,3432,0.00124044
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,16,1,3309,131,3440,0.00124364
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,16,2,3309,131,3440,0.00124364
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,16,2,3309,123,3432,0.00124044
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,16,3,3309,123,3432,0.00124044
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,16,3,3309,123,3432,0.00124044
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,2,1,545,155,700,0.0002582
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,2,1,545,151,696,0.0002566
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,2,2,547,155,702,0.00025892
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,2,2,547,151,698,0.00025732
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,2,3,551,155,706,0.00026036
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,2,3,551,155,706,0.00026036
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,5,1,933,144,1077,0.00039348
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,5,1,933,155,1088,0.00039788
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,5,2,936,155,1091,0.00039896
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,5,2,936,155,1091,0.00039896
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,5,3,929,151,1080,0.00039484
