patient_id,repetition,target_est_tokens,achieved_est_tokens,delta_tokens,delta_frac,control_chars,redundancy_chars
patient_01,1,184,184,0,0.0,735,735
patient_01,5,919,938,19,0.020674646354733407,3751,3675
patient_01,10,1838,1844,6,0.003264417845484222,7375,7350
patient_01,16,2940,2954,14,0.004761904761904762,11815,11760
patient_02,1,139,139,0,0.0,553,553
patient_02,5,692,701,9,0.01300578034682081,2802,2765
patient_02,10,1383,1387,4,0.0028922631959508315,5548,5530
patient_02,16,2212,2212,0,0.0,8846,8848
patient_03,1,147,147,0,0.0,588,588
patient_03,5,735,741,6,0.00816326530612245,2963,2940
patient_03,10,1470,1486,16,0.010884353741496598,5942,5880
patient_03,16,2352,2369,17,0.007227891156462585,9475,9408
patient_04,1,100,100,0,0.0,399,399
patient_04,5,499,511,12,0.02404809619238477,2042,1995
patient_04,10,998,999,1,0.001002004008016032,3995,3990
patient_04,16,1596,1609,13,0.008145363408521303,6434,6384
patient_05,1,128,128,0,0.0,510,510
patient_05,5,638,641,3,0.004702194357366771,2563,2550
patient_05,10,1275,1279,4,0.003137254901960784,5113,5100
patient_05,16,2040,2061,21,0.010294117647058823,8241,8160
patient_06,1,99,99,0,0.0,395,395
patient_06,5,494,514,20,0.04048582995951417,2056,1975
patient_06,10,988,1000,12,0.012145748987854251,3997,3950
patient_06,16,1580,1603,23,0.014556962025316455,6409,6320
patient_07,1,111,111,0,0.0,442,442
patient_07,5,553,553,0,0.0,2210,2210
patient_07,10,1105,1115,10,0.00904977375565611,4458,4420
patient_07,16,1768,1776,8,0.004524886877828055,7104,7072
patient_08,1,139,139,0,0.0,554,554
patient_08,5,693,712,19,0.027417027417027416,2845,2770
patient_08,10,1385,1407,22,0.01588447653429603,5626,5540
patient_08,16,2216,2239,23,0.010379061371841155,8954,8864
patient_09,1,94,94,0,0.0,373,373
patient_09,5,467,488,21,0.044967880085653104,1950,1865
patient_09,10,933,947,14,0.015005359056806002,3786,3730
patient_09,16,1492,1494,2,0.0013404825737265416,5976,5968
patient_10,1,127,127,0,0.0,508,508
patient_10,5,635,644,9,0.014173228346456693,2573,2540
patient_10,10,1270,1278,8,0.006299212598425197,5110,5080
patient_10,16,2032,2033,1,0.0004921259842519685,8131,8128
patient_11,1,184,184,0,0.0,735,735
patient_11,5,919,925,6,0.006528835690968444,3697,3675
patient_11,10,1838,1861,23,0.012513601741022852,7444,7350
patient_11,16,2940,2955,15,0.00510204081632653,11817,11760
patient_12,1,139,139,0,0.0,553,553
patient_12,5,692,697,5,0.0072254335260115606,2788,2765
patient_12,10,1383,1390,7,0.005061460592913955,5558,5530
patient_12,16,2212,2233,21,0.00949367088607595,8929,8848
patient_13,1,147,147,0,0.0,588,588
patient_13,5,735,755,20,0.027210884353741496,3020,2940
patient_13,10,1470,1493,23,0.015646258503401362,5969,5880
patient_13,16,2352,2373,21,0.008928571428571428,9491,9408
patient_14,1,100,100,0,0.0,399,399
patient_14,5,499,516,17,0.03406813627254509,2063,1995
patient_14,10,998,1000,2,0.002004008016032064,3998,3990
patient_14,16,1596,1621,25,0.015664160401002505,6482,6384
patient_15,1,128,128,0,0.0,510,510
patient_15,5,638,640,2,0.003134796238244514,2557,2550
patient_15,10,1275,1280,5,0.00392156862745098,5117,5100
patient_15,16,2040,2062,22,0.010784313725490196,8246,8160
patient_16,1,99,99,0,0.0,395,395
patient_16,5,494,517,23,0.0465587044534413,2066,1975
patient_16,10,988,1003,15,0.015182186234817813,4012,3950
patient_16,16,1580,1587,7,0.004430379746835443,6346,6320
patient_17,1,111,111,0,0.0,442,442
patient_17,5,553,577,24,0.0433996383363472,2305,2210
patient_17,10,1105,1109,4,0.0036199095022624436,4435,4420
patient_17,16,1768,1788,20,0.011312217194570135,7152,7072
patient_18,1,139,139,0,0.0,554,554
patient_18,5,693,695,2,0.002886002886002886,2779,2770
patient_18,10,1385,1405,20,0.01444043321299639,5619,5540
patient_18,16,2216,2230,14,0.00631768953068592,8919,8864
patient_19,1,94,94,0,0.0,373,373
patient_19,5,467,488,21,0.044967880085653104,1949,1865
patient_19,10,933,951,18,0.01929260450160772,3802,3730
patient_19,16,1492,1515,23,0.015415549597855228,6058,5968
patient_20,1,127,127,0,0.0,508,508
patient_20,5,635,638,3,0.004724409448818898,2550,2540
patient_20,10,1270,1275,5,0.003937007874015748,5098,5080
patient_20,16,2032,2041,9,0.0044291338582677165,8162,8128
patient_21,1,184,184,0,0.0,735,735
patient_21,5,919,940,21,0.022850924918389554,3759,3675
patient_21,10,1838,1860,22,0.011969532100108813,7439,7350
patient_21,16,2940,2954,14,0.004761904761904762,11813,11760
patient_22,1,139,139,0,0.0,553,553
patient_22,5,692,713,21,0.030346820809248554,2849,2765
patient_22,10,1383,1403,20,0.014461315979754157,5609,5530
patient_22,16,2212,2229,17,0.0076853526220614825,8914,8848
patient_23,1,147,147,0,0.0,588,588
patient_23,5,735,757,22,0.029931972789115645,3025,2940
patient_23,10,1470,1470,0,0.0,5879,5880
patient_23,16,2352,2361,9,0.003826530612244898,9443,9408
patient_24,1,100,100,0,0.0,399,399
patient_24,5,499,512,13,0.026052104208416832,2045,1995
patient_24,10,998,1002,4,0.004008016032064128,4006,3990
patient_24,16,1596,1597,1,0.0006265664160401002,6386,6384
patient_25,1,128,128,0,0.0,510,510
patient_25,5,638,648,10,0.01567398119122257,2590,2550
patient_25,10,1275,1275,0,0.0,5100,5100
patient_25,16,2040,2049,9,0.004411764705882353,8196,8160
patient_26,1,99,99,0,0.0,395,395
patient_26,5,494,497,3,0.006072874493927126,1988,1975
patient_26,10,988,1006,18,0.018218623481781375,4021,3950
patient_26,16,1580,1594,14,0.008860759493670886,6373,6320
patient_27,1,111,111,0,0.0,442,442
patient_27,5,553,553,0,0.0,2212,2210
patient_27,10,1105,1120,15,0.013574660633484163,4480,4420
patient_27,16,1768,1771,3,0.0016968325791855204,7081,7072
patient_28,1,139,139,0,0.0,554,554
patient_28,5,693,709,16,0.023088023088023088,2834,2770
patient_28,10,1385,1403,18,0.012996389891696752,5610,5540
patient_28,16,2216,2216,0,0.0,8864,8864
patient_29,1,94,94,0,0.0,373,373
patient_29,5,467,480,13,0.027837259100642397,1918,1865
patient_29,10,933,955,22,0.023579849946409433,3820,3730
patient_29,16,1492,1505,13,0.00871313672922252,6017,5968
patient_30,1,127,127,0,0.0,508,508
patient_30,5,635,645,10,0.015748031496062992,2579,2540
patient_30,10,1270,1279,9,0.007086614173228346,5114,5080
patient_30,16,2032,2051,19,0.009350393700787402,8204,8128
patient_31,1,184,184,0,0.0,735,735
patient_31,5,919,929,10,0.01088139281828074,3714,3675
patient_31,10,1838,1847,9,0.004896626768226333,7385,7350
patient_31,16,2940,2940,0,0.0,11760,11760
patient_32,1,139,139,0,0.0,553,553
patient_32,5,692,703,11,0.015895953757225433,2809,2765
patient_32,10,1383,1404,21,0.015184381778741865,5613,5530
patient_32,16,2212,2229,17,0.0076853526220614825,8916,8848
patient_33,1,147,147,0,0.0,588,588
patient_33,5,735,760,25,0.034013605442176874,3037,2940
patient_33,10,1470,1491,21,0.014285714285714285,5961,5880
patient_33,16,2352,2363,11,0.00467687074829932,9452,9408
patient_34,1,100,100,0,0.0,399,399
patient_34,5,499,514,15,0.03006012024048096,2055,1995
patient_34,10,998,1013,15,0.01503006012024048,4049,3990
patient_34,16,1596,1611,15,0.009398496240601503,6444,6384
patient_35,1,128,128,0,0.0,510,510
patient_35,5,638,638,0,0.0,2552,2550
patient_35,10,1275,1298,23,0.01803921568627451,5189,5100
patient_35,16,2040,2060,20,0.00980392156862745,8239,8160
patient_36,1,99,99,0,0.0,395,395
patient_36,5,494,494,0,0.0,1973,1975
patient_36,10,988,1007,19,0.019230769230769232,4025,3950
patient_36,16,1580,1592,12,0.007594936708860759,6366,6320
patient_37,1,111,111,0,0.0,442,442
patient_37,5,553,557,4,0.007233273056057866,2225,2210
patient_37,10,1105,1113,8,0.007239819004524887,4451,4420
patient_37,16,1768,1788,20,0.011312217194570135,7151,7072
patient_38,1,139,139,0,0.0,554,554
patient_38,5,693,702,9,0.012987012987012988,2805,2770
patient_38,10,1385,1398,13,0.009386281588447653,5592,5540
patient_38,16,2216,2238,22,0.009927797833935019,8949,8864
patient_39,1,94,94,0,0.0,373,373
patient_39,5,467,483,16,0.034261241970021415,1929,1865
patient_39,10,933,947,14,0.015005359056806002,3787,3730
patient_39,16,1492,1500,8,0.005361930294906166,5998,5968
patient_40,1,127,127,0,0.0,508,508
patient_40,5,635,645,10,0.015748031496062992,2577,2540
patient_40,10,1270,1278,8,0.006299212598425197,5112,5080
patient_40,16,2032,2032,0,0.0,8128,8128
patient_41,1,184,184,0,0.0,735,735
patient_41,5,919,936,17,0.018498367791077257,3742,3675
patient_41,10,1838,1839,1,0.000544069640914037,7355,7350
patient_41,16,2940,2960,20,0.006802721088435374,11839,11760
patient_42,1,139,139,0,0.0,553,553
patient_42,5,692,696,4,0.005780346820809248,2782,2765
patient_42,10,1383,1402,19,0.01373825018076645,5608,5530
patient_42,16,2212,2221,9,0.00406871609403255,8883,8848
patient_43,1,147,147,0,0.0,588,588
patient_43,5,735,758,23,0.031292517006802724,3032,2940
patient_43,10,1470,1476,6,0.004081632653061225,5902,5880
patient_43,16,2352,2370,18,0.007653061224489796,9478,9408
patient_44,1,100,100,0,0.0,399,399
patient_44,5,499,521,22,0.04408817635270541,2082,1995
patient_44,10,998,1005,7,0.0070140280561122245,4017,3990
patient_44,16,1596,1609,13,0.008145363408521303,6436,6384
patient_45,1,128,128,0,0.0,510,510
patient_45,5,638,641,3,0.004702194357366771,2561,2550
patient_45,10,1275,1292,17,0.013333333333333334,5165,5100
patient_45,16,2040,2063,23,0.011274509803921568,8251,8160
patient_46,1,99,99,0,0.0,395,395
patient_46,5,494,518,24,0.048582995951417005,2070,1975
patient_46,10,988,1006,18,0.018218623481781375,4021,3950
patient_46,16,1580,1588,8,0.005063291139240506,6350,6320
patient_47,1,111,111,0,0.0,442,442
patient_47,5,553,571,18,0.0325497287522604,2284,2210
patient_47,10,1105,1117,12,0.01085972850678733,4467,4420
patient_47,16,1768,1784,16,0.00904977375565611,7135,7072
patient_48,1,139,139,0,0.0,554,554
patient_48,5,693,699,6,0.008658008658008658,2794,2770
patient_48,10,1385,1392,7,0.005054151624548736,5566,5540
patient_48,16,2216,2218,2,0.0009025270758122744,8869,8864
patient_49,1,94,94,0,0.0,373,373
patient_49,5,467,487,20,0.042826552462526764,1947,1865
patient_49,10,933,951,18,0.01929260450160772,3802,3730
patient_49,16,1492,1511,19,0.012734584450402145,6042,5968
patient_50,1,127,127,0,0.0,508,508
patient_50,5,635,639,4,0.006299212598425197,2553,2540
patient_50,10,1270,1271,1,0.0007874015748031496,5083,5080
patient_50,16,2032,2051,19,0.009350393700787402,8202,8128
patient_51,1,184,184,0,0.0,735,735
patient_51,5,919,921,2,0.002176278563656148,3684,3675
patient_51,10,1838,1849,11,0.005984766050054407,7394,7350
patient_51,16,2940,2943,3,0.0010204081632653062,11772,11760
patient_52,1,139,139,0,0.0,553,553
patient_52,5,692,701,9,0.01300578034682081,2801,2765
patient_52,10,1383,1392,9,0.006507592190889371,5568,5530
patient_52,16,2212,2226,14,0.006329113924050633,8902,8848
patient_53,1,147,147,0,0.0,588,588
patient_53,5,735,754,19,0.02585034013605442,3016,2940
patient_53,10,1470,1473,3,0.0020408163265306124,5890,5880
patient_53,16,2352,2358,6,0.002551020408163265,9429,9408
patient_54,1,100,100,0,0.0,399,399
patient_54,5,499,511,12,0.02404809619238477,2043,1995
patient_54,10,998,1009,11,0.011022044088176353,4034,3990
patient_54,16,1596,1616,20,0.012531328320802004,6461,6384
patient_55,1,128,128,0,0.0,510,510
patient_55,5,638,640,2,0.003134796238244514,2558,2550
patient_55,10,1275,1277,2,0.001568627450980392,5105,5100
patient_55,16,2040,2045,5,0.0024509803921568627,8178,8160
patient_56,1,99,99,0,0.0,395,395
patient_56,5,494,513,19,0.038461538461538464,2051,1975
patient_56,10,988,995,7,0.00708502024291498,3977,3950
patient_56,16,1580,1592,12,0.007594936708860759,6365,6320
patient_57,1,111,111,0,0.0,442,442
patient_57,5,553,572,19,0.034358047016274866,2288,2210
patient_57,10,1105,1130,25,0.02262443438914027,4518,4420
patient_57,16,1768,1769,1,0.0005656108597285068,7073,7072
patient_58,1,139,139,0,0.0,554,554
patient_58,5,693,702,9,0.012987012987012988,2805,2770
patient_58,10,1385,1396,11,0.007942238267148015,5584,5540
patient_58,16,2216,2224,8,0.0036101083032490976,8896,8864
patient_59,1,94,94,0,0.0,373,373
patient_59,5,467,490,23,0.04925053533190578,1958,1865
patient_59,10,933,946,13,0.013933547695605574,3781,3730
patient_59,16,1492,1506,14,0.00938337801608579,6021,5968
patient_60,1,127,127,0,0.0,508,508
patient_60,5,635,641,6,0.009448818897637795,2562,2540
patient_60,10,1270,1275,5,0.003937007874015748,5099,5080
patient_60,16,2032,2057,25,0.012303149606299213,8225,8128
patient_61,1,184,184,0,0.0,735,735
patient_61,5,919,940,21,0.022850924918389554,3757,3675
patient_61,10,1838,1857,19,0.010337323177366704,7425,7350
patient_61,16,2940,2944,4,0.0013605442176870747,11776,11760
patient_62,1,139,139,0,0.0,553,553
patient_62,5,692,694,2,0.002890173410404624,2774,2765
patient_62,10,1383,1383,0,0.0,5532,5530
patient_62,16,2212,2234,22,0.009945750452079566,8935,8848
patient_63,1,147,147,0,0.0,588,588
patient_63,5,735,744,9,0.012244897959183673,2974,2940
patient_63,10,1470,1492,22,0.014965986394557823,5968,5880
patient_63,16,2352,2366,14,0.005952380952380952,9463,9408
patient_64,1,100,100,0,0.0,399,399
patient_64,5,499,515,16,0.03206412825651302,2060,1995
patient_64,10,998,999,1,0.001002004008016032,3995,3990
patient_64,16,1596,1606,10,0.006265664160401002,6424,6384
patient_65,1,128,128,0,0.0,510,510
patient_65,5,638,659,21,0.032915360501567396,2636,2550
patient_65,10,1275,1286,11,0.008627450980392156,5141,5100
patient_65,16,2040,2044,4,0.00196078431372549,8176,8160
patient_66,1,99,99,0,0.0,395,395
patient_66,5,494,513,19,0.038461538461538464,2049,1975
patient_66,10,988,988,0,0.0,3951,3950
patient_66,16,1580,1584,4,0.002531645569620253,6334,6320
patient_67,1,111,111,0,0.0,442,442
patient_67,5,553,555,2,0.003616636528028933,2220,2210
patient_67,10,1105,1127,22,0.019909502262443438,4506,4420
patient_67,16,1768,1779,11,0.006221719457013574,7116,7072
patient_68,1,139,139,0,0.0,554,554
patient_68,5,693,697,4,0.005772005772005772,2787,2770
patient_68,10,1385,1405,20,0.01444043321299639,5617,5540
patient_68,16,2216,2226,10,0.004512635379061372,8901,8864
patient_69,1,94,94,0,0.0,373,373
patient_69,5,467,467,0,0.0,1866,1865
patient_69,10,933,945,12,0.012861736334405145,3779,3730
patient_69,16,1492,1494,2,0.0013404825737265416,5976,5968
patient_70,1,127,127,0,0.0,508,508
patient_70,5,635,642,7,0.011023622047244094,2566,2540
patient_70,10,1270,1278,8,0.006299212598425197,5112,5080
patient_70,16,2032,2041,9,0.0044291338582677165,8163,8128
patient_71,1,184,184,0,0.0,735,735
patient_71,5,919,939,20,0.02176278563656148,3754,3675
patient_71,10,1838,1860,22,0.011969532100108813,7437,7350
patient_71,16,2940,2961,21,0.007142857142857143,11841,11760
patient_72,1,139,139,0,0.0,553,553
patient_72,5,692,705,13,0.01878612716763006,2817,2765
patient_72,10,1383,1401,18,0.013015184381778741,5603,5530
patient_72,16,2212,2235,23,0.010397830018083183,8938,8848
patient_73,1,147,147,0,0.0,588,588
patient_73,5,735,737,2,0.0027210884353741495,2948,2940
patient_73,10,1470,1481,11,0.007482993197278911,5922,5880
patient_73,16,2352,2371,19,0.008078231292517007,9482,9408
patient_74,1,100,100,0,0.0,399,399
patient_74,5,499,515,16,0.03206412825651302,2060,1995
patient_74,10,998,1004,6,0.006012024048096192,4015,3990
patient_74,16,1596,1613,17,0.010651629072681704,6452,6384
patient_75,1,128,128,0,0.0,510,510
patient_75,5,638,662,24,0.03761755485893417,2645,2550
patient_75,10,1275,1296,21,0.01647058823529412,5184,5100
patient_75,16,2040,2062,22,0.010784313725490196,8246,8160
patient_76,1,99,99,0,0.0,395,395
patient_76,5,494,515,21,0.04251012145748988,2060,1975
patient_76,10,988,1000,12,0.012145748987854251,3999,3950
patient_76,16,1580,1592,12,0.007594936708860759,6368,6320
patient_77,1,111,111,0,0.0,442,442
patient_77,5,553,576,23,0.04159132007233273,2301,2210
patient_77,10,1105,1119,14,0.012669683257918552,4474,4420
patient_77,16,1768,1771,3,0.0016968325791855204,7084,7072
patient_78,1,139,139,0,0.0,554,554
patient_78,5,693,702,9,0.012987012987012988,2808,2770
patient_78,10,1385,1386,1,0.0007220216606498195,5541,5540
patient_78,16,2216,2234,18,0.008122743682310469,8933,8864
patient_79,1,94,94,0,0.0,373,373
patient_79,5,467,484,17,0.03640256959314775,1934,1865
patient_79,10,933,933,0,0.0,3731,3730
patient_79,16,1492,1505,13,0.00871313672922252,6019,5968
patient_80,1,127,127,0,0.0,508,508
patient_80,5,635,643,8,0.012598425196850394,2569,2540
patient_80,10,1270,1273,3,0.002362204724409449,5089,5080
patient_80,16,2032,2055,23,0.011318897637795276,8220,8128
patient_81,1,184,184,0,0.0,735,735
patient_81,5,919,935,16,0.017410228509249184,3738,3675
patient_81,10,1838,1862,24,0.013057671381936888,7446,7350
patient_81,16,2940,2962,22,0.007482993197278911,11845,11760
patient_82,1,139,139,0,0.0,553,553
patient_82,5,692,698,6,0.008670520231213872,2790,2765
patient_82,10,1383,1406,23,0.016630513376717282,5622,5530
patient_82,16,2212,2234,22,0.009945750452079566,8935,8848
patient_83,1,147,147,0,0.0,588,588
patient_83,5,735,753,18,0.024489795918367346,3012,2940
patient_83,10,1470,1489,19,0.01292517006802721,5954,5880
patient_83,16,2352,2373,21,0.008928571428571428,9490,9408
patient_84,1,100,100,0,0.0,399,399
patient_84,5,499,513,14,0.028056112224448898,2050,1995
patient_84,10,998,1005,7,0.0070140280561122245,4020,3990
patient_84,16,1596,1599,3,0.0018796992481203006,6394,6384
patient_85,1,128,128,0,0.0,510,510
patient_85,5,638,641,3,0.004702194357366771,2562,2550
patient_85,10,1275,1281,6,0.004705882352941176,5121,5100
patient_85,16,2040,2053,13,0.006372549019607843,8209,8160
patient_86,1,99,99,0,0.0,395,395
patient_86,5,494,516,22,0.044534412955465584,2063,1975
patient_86,10,988,1003,15,0.015182186234817813,4010,3950
patient_86,16,1580,1598,18,0.01139240506329114,6390,6320
patient_87,1,111,111,0,0.0,442,442
patient_87,5,553,569,16,0.028933092224231464,2273,2210
patient_87,10,1105,1108,3,0.0027149321266968325,4432,4420
patient_87,16,1768,1771,3,0.0016968325791855204,7083,7072
patient_88,1,139,139,0,0.0,554,554
patient_88,5,693,702,9,0.012987012987012988,2807,2770
patient_88,10,1385,1406,21,0.01516245487364621,5624,5540
patient_88,16,2216,2218,2,0.0009025270758122744,8872,8864
patient_89,1,94,94,0,0.0,373,373
patient_89,5,467,487,20,0.042826552462526764,1945,1865
patient_89,10,933,934,1,0.0010718113612004287,3734,3730
patient_89,16,1492,1508,16,0.010723860589812333,6029,5968
patient_90,1,127,127,0,0.0,508,508
patient_90,5,635,642,7,0.011023622047244094,2567,2540
patient_90,10,1270,1286,16,0.012598425196850394,5141,5080
patient_90,16,2032,2055,23,0.011318897637795276,8219,8128
patient_91,1,184,184,0,0.0,735,735
patient_91,5,919,944,25,0.02720348204570185,3773,3675
patient_91,10,1838,1845,7,0.003808487486398259,7380,7350
patient_91,16,2940,2951,11,0.0037414965986394557,11802,11760
patient_92,1,139,139,0,0.0,553,553
patient_92,5,692,702,10,0.014450867052023121,2806,2765
patient_92,10,1383,1383,0,0.0,5529,5530
patient_92,16,2212,2216,4,0.0018083182640144665,8864,8848
patient_93,1,147,147,0,0.0,588,588
patient_93,5,735,742,7,0.009523809523809525,2968,2940
patient_93,10,1470,1476,6,0.004081632653061225,5901,5880
patient_93,16,2352,2370,18,0.007653061224489796,9477,9408
patient_94,1,100,100,0,0.0,399,399
patient_94,5,499,518,19,0.03807615230460922,2072,1995
patient_94,10,998,1009,11,0.011022044088176353,4033,3990
patient_94,16,1596,1612,16,0.010025062656641603,6445,6384
patient_95,1,128,128,0,0.0,510,510
patient_95,5,638,641,3,0.004702194357366771,2562,2550
patient_95,10,1275,1286,11,0.008627450980392156,5142,5100
patient_95,16,2040,2053,13,0.006372549019607843,8212,8160
patient_96,1,99,99,0,0.0,395,395
patient_96,5,494,513,19,0.038461538461538464,2050,1975
patient_96,10,988,1005,17,0.01720647773279352,4017,3950
patient_96,16,1580,1594,14,0.008860759493670886,6373,6320
patient_97,1,111,111,0,0.0,442,442
patient_97,5,553,556,3,0.0054249547920434,2222,2210
patient_97,10,1105,1115,10,0.00904977375565611,4459,4420
patient_97,16,1768,1789,21,0.011877828054298642,7156,7072
patient_98,1,139,139,0,0.0,554,554
patient_98,5,693,697,4,0.005772005772005772,2786,2770
patient_98,10,1385,1406,21,0.01516245487364621,5624,5540
patient_98,16,2216,2233,17,0.007671480144404332,8930,8864
patient_99,1,94,94,0,0.0,373,373
patient_99,5,467,486,19,0.04068522483940043,1941,1865
patient_99,10,933,950,17,0.01822079314040729,3798,3730
patient_99,16,1492,1510,18,0.012064343163538873,6037,5968
patient_100,1,127,127,0,0.0,508,508
patient_100,5,635,641,6,0.009448818897637795,2561,2540
patient_100,10,1270,1275,5,0.003937007874015748,5100,5080
patient_100,16,2032,2041,9,0.0044291338582677165,8161,8128
