patient_id,repetition,run,micro_precision,micro_recall,micro_f1,omission_count,hallucination_count,extracted_entities_n
patient_63,10,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
patient_63,16,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
patient_64,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,6
patient_64,5,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,6
patient_64,10,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,6
patient_64,16,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,6
patient_65,1,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
patient_65,5,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
patient_65,10,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
patient_65,16,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
patient_66,1,1,0.6,0.6,0.6,2,2,5
patient_66,5,1,0.6,0.6,0.6,2,2,5
patient_66,10,1,0.6,0.6,0.6,2,2,5
patient_66,16,1,0.6,0.6,0.6,2,2,5
patient_67,1,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_67,5,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_67,10,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_67,16,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_68,1,1,0.5,0.4444444444444444,0.47058823529411764,5,4,8
patient_68,5,1,0.5,0.4444444444444444,0.47058823529411764,5,4,8
patient_68,10,1,0.5,0.4444444444444444,0.47058823529411764,5,4,8
patient_68,16,1,0.5,0.4444444444444444,0.47058823529411764,5,4,8
patient_69,1,1,0.6,0.6,0.6,2,2,5
patient_69,5,1,0.6,0.6,0.6,2,2,5
patient_69,10,1,0.6,0.6,0.6,2,2,5
patient_69,16,1,0.6,0.6,0.6,2,2,5
patient_70,1,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_70,5,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_70,10,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_70,16,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_71,1,1,0.25,0.2222222222222222,0.23529411764705882,7,6,8
patient_71,5,1,0.5555555555555556,0.5555555555555556,0.5555555555555556,4,4,9
patient_71,10,1,0.5555555555555556,0.5555555555555556,0.5555555555555556,4,4,9
patient_71,16,1,0.5555555555555556,0.5555555555555556,0.5555555555555556,4,4,9
patient_72,1,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,6,6,7
patient_72,5,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,6,6,7
patient_72,10,1,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,7
patient_72,16,1,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,7
patient_73,1,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
patient_73,5,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
patient_73,10,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
patient_73,16,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
patient_74,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,6
patient_74,5,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,6
patient_74,10,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,6
patient_74,16,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,6
patient_75,1,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
patient_75,5,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
patient_75,10,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
patient_75,16,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
patient_76,1,1,0.6,0.6,0.6,2,2,5
patient_76,5,1,0.6,0.6,0.6,2,2,5
patient_76,10,1,0.6,0.6,0.6,2,2,5
patient_76,16,1,0.6,0.6,0.6,2,2,5
patient_77,1,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_77,5,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_77,10,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_77,16,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_78,1,1,0.5,0.4444444444444444,0.47058823529411764,5,4,8
patient_78,5,1,0.5,0.4444444444444444,0.47058823529411764,5,4,8
patient_78,10,1,0.5,0.4444444444444444,0.47058823529411764,5,4,8
patient_78,16,1,0.5,0.4444444444444444,0.47058823529411764,5,4,8
patient_79,1,1,0.6,0.6,0.6,2,2,5
patient_79,5,1,0.6,0.6,0.6,2,2,5
patient_79,10,1,0.6,0.6,0.6,2,2,5
patient_79,16,1,0.6,0.6,0.6,2,2,5
patient_80,1,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_80,5,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_80,10,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_80,16,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_81,1,1,0.25,0.2222222222222222,0.23529411764705882,7,6,8
patient_81,5,1,0.5555555555555556,0.5555555555555556,0.5555555555555556,4,4,9
patient_81,10,1,0.5555555555555556,0.5555555555555556,0.5555555555555556,4,4,9
patient_81,16,1,0.5555555555555556,0.5555555555555556,0.5555555555555556,4,4,9
patient_82,1,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,6,6,7
patient_82,5,1,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,7
patient_82,10,1,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,7
patient_82,16,1,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,7
patient_83,1,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
patient_83,5,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
patient_83,10,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
patient_83,16,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
patient_84,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,6
patient_84,5,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,6
patient_84,10,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,6
patient_84,16,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,6
patient_85,1,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
patient_85,5,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
patient_85,10,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
patient_85,16,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
patient_86,1,1,0.6,0.6,0.6,2,2,5
patient_86,5,1,0.6,0.6,0.6,2,2,5
patient_86,10,1,0.6,0.6,0.6,2,2,5
patient_86,16,1,0.6,0.6,0.6,2,2,5
patient_87,1,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_87,5,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_87,10,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_87,16,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_88,1,1,0.5,0.4444444444444444,0.47058823529411764,5,4,8
patient_88,5,1,0.5,0.4444444444444444,0.47058823529411764,5,4,8
patient_88,10,1,0.5,0.4444444444444444,0.47058823529411764,5,4,8
patient_88,16,1,0.5,0.4444444444444444,0.47058823529411764,5,4,8
patient_89,1,1,0.6,0.6,0.6,2,2,5
patient_89,5,1,0.6,0.6,0.6,2,2,5
patient_89,10,1,0.6,0.6,0.6,2,2,5
patient_89,16,1,0.6,0.6,0.6,2,2,5
patient_90,1,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_90,5,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_90,10,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_90,16,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_91,1,1,0.25,0.2222222222222222,0.23529411764705882,7,6,8
patient_91,5,1,0.5555555555555556,0.5555555555555556,0.5555555555555556,4,4,9
patient_91,10,1,0.5555555555555556,0.5555555555555556,0.5555555555555556,4,4,9
patient_91,16,1,0.5555555555555556,0.5555555555555556,0.5555555555555556,4,4,9
patient_92,1,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,6,6,7
patient_92,5,1,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,7
patient_92,10,1,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,7
patient_92,16,1,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,7
patient_93,1,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
patient_93,5,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
patient_93,10,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
patient_93,16,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
patient_94,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,6
patient_94,5,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,6
patient_94,10,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,6
patient_94,16,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,6
patient_95,1,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
patient_95,5,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
patient_95,10,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
patient_95,16,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
patient_96,1,1,0.6,0.6,0.6,2,2,5
patient_96,5,1,0.6,0.6,0.6,2,2,5
patient_96,10,1,0.6,0.6,0.6,2,2,5
patient_96,16,1,0.6,0.6,0.6,2,2,5
patient_97,1,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_97,5,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_97,10,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_97,16,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_98,1,1,0.5,0.4444444444444444,0.47058823529411764,5,4,8
patient_98,5,1,0.5,0.4444444444444444,0.47058823529411764,5,4,8
patient_98,10,1,0.5,0.4444444444444444,0.47058823529411764,5,4,8
patient_98,16,1,0.5,0.4444444444444444,0.47058823529411764,5,4,8
patient_99,1,1,0.6,0.6,0.6,2,2,5
patient_99,5,1,0.6,0.6,0.6,2,2,5
patient_99,10,1,0.6,0.6,0.6,2,2,5
patient_99,16,1,0.6,0.6,0.6,2,2,5
patient_100,1,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_100,5,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_100,10,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_100,16,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
